route	methods	auth_check	cron_check	sig_check
goals/advice/route.ts	POST	yes	-	-
goals/monthly/route.ts	GET,POST	yes	-	-
goals/[id]/route.ts	DELETE,PATCH,PUT	yes	-	-
dashboard/widget-data/route.ts	GET	yes	-	-
dashboard/briefing/route.ts	GET	yes	-	-
dashboard/super/route.ts	GET	yes	-	-
dashboard/stats/route.ts	GET	yes	-	-
integrations/status/route.ts	GET	yes	-	-
meeting-roi/analyze/route.ts	POST	yes	-	-
late-fees/generate-email/route.ts	POST	yes	-	-
status-reports/ai-generate/route.ts	POST	yes	-	-
proposal-analytics/update/route.ts	GET,POST	yes	-	-
proposal-analytics/insight/route.ts	POST	yes	-	-
portals/[id]/route.ts	DELETE,GET,PUT	yes	-	-
niche-finder/analyze/route.ts	POST	yes	-	-
digital-products/sales/route.ts	DELETE,GET,POST	yes	-	-
